frame,x,y,visible
165,2091,165,1
166,2091,165,1
167,,,0
168,2093,166,1
169,2092,166,1
170,2092,166,1
171,2093,166,1
172,2092,166,1
173,1131,543,1
174,2092,166,1
175,,,0
176,,,0
177,2092,166,1
178,,,0
179,,,0
180,2092,166,1
181,2092,166,1
182,2092,166,1
183,2091,166,1
184,1170,483,1
185,1171,475,1
186,,,0
187,,,0
188,2093,165,1
189,2093,166,1
190,2093,166,1
191,2093,166,1
192,2092,166,1
193,2092,166,1
194,2092,163,1
195,2092,165,1
196,2092,163,1
197,2092,163,1
198,2093,165,1
199,2093,166,1
200,2092,166,1
201,2092,166,1
202,2092,165,1
203,2092,166,1
204,,,0
205,2091,165,1
206,,,0
207,,,0
208,2091,165,1
209,2091,165,1
210,2092,165,1
211,2092,165,1
212,2092,163,1
213,2091,165,1
214,2092,161,1
215,2091,163,1
216,2092,165,1
217,2092,166,1
218,2092,166,1
219,,,0
220,2092,166,1
221,2092,163,1
222,2092,166,1
223,2092,166,1
224,2092,166,1
225,2092,166,1
226,2092,166,1
227,2091,165,1
228,2091,165,1
229,2091,165,1
230,2091,165,1
231,2092,165,1
232,2092,165,1
233,2092,165,1
234,2092,166,1
235,2091,165,1
236,2091,165,1
237,,,0
238,,,0
239,,,0
240,,,0
241,2092,165,1
242,2092,166,1
243,2093,166,1
244,2093,166,1
245,2093,166,1
246,2092,165,1
247,,,0
248,,,0
249,1362,475,1
250,,,0
251,,,0
252,2095,164,1
253,2095,164,1
254,2095,166,1
255,2096,166,1
256,2096,166,1
257,2096,166,1
258,2095,165,1
259,2095,165,1
260,2093,166,1
261,,,0
262,,,0
263,,,0
264,,,0
265,,,0
266,,,0
267,,,0
268,,,0
269,2093,166,1
270,2093,166,1
271,2094,166,1
272,2094,166,1
273,2094,166,1
274,2092,166,1
275,2092,166,1
276,1329,359,1
277,1329,360,1
278,1329,360,1
279,1329,360,1
280,1330,360,1
281,1332,360,1
282,1332,360,1
283,1332,360,1
284,1333,360,1
285,1332,360,1
286,1331,359,1
287,1330,359,1
288,1330,359,1
289,1328,359,1
290,1327,359,1
291,1327,359,1
292,1327,360,1
293,1328,360,1
294,1328,360,1
295,1330,360,1
296,1330,360,1
297,1330,360,1
298,1331,359,1
299,1331,360,1
300,1331,360,1
301,1331,359,1
302,1330,359,1
303,1330,359,1
304,1330,359,1
305,1329,359,1
306,1329,359,1
307,1329,359,1
308,1329,360,1
309,1330,360,1
310,1330,360,1
311,1330,360,1
312,1331,360,1
313,1331,360,1
314,1331,360,1
315,1331,360,1
316,1331,360,1
317,1331,360,1
318,1331,360,1
319,1330,360,1
320,1330,360,1
321,1329,360,1
322,1329,360,1
323,1329,360,1
324,1329,360,1
325,1329,361,1
326,1329,361,1
327,1328,359,1
328,1328,359,1
329,1330,361,1
330,1329,361,1
331,1330,360,1
332,1330,360,1
333,1331,360,1
334,1331,360,1
335,1330,360,1
336,1330,360,1
337,1330,360,1
338,1330,359,1
339,1330,359,1
340,1330,360,1
341,1330,360,1
342,1329,360,1
343,1329,360,1
344,1329,359,1
345,1329,359,1
346,1330,360,1
347,1330,360,1
348,1330,360,1
349,1330,360,1
350,1330,360,1
351,1330,360,1
352,1331,361,1
353,1331,361,1
354,1330,360,1
355,1330,360,1
356,1330,360,1
357,1330,360,1
358,1329,360,1
359,1329,360,1
360,1330,360,1
361,1329,360,1
